Date,Distance Walking/Running,Steps,Distance Swimming,Strokes,Distance Cycling,Distance Wheelchair,Distance Downhill Snowsports
2023-12-31,10504.62,11414.00,0.00,0.00,0.00,0.00,0.00
2024-01-01,2499.50,3865.00,0.00,0.00,0.00,0.00,0.00
2024-01-02,10705.99,12075.00,0.00,0.00,0.00,0.00,0.00
2024-01-03,2643.85,3972.00,0.00,0.00,0.00,0.00,0.00
2024-01-04,10868.56,12642.00,0.00,0.00,0.00,0.00,0.00
2024-01-05,16663.32,19953.00,0.00,0.00,0.00,0.00,0.00
2024-01-06,1300.96,1933.00,0.00,0.00,0.00,0.00,0.00
2024-01-07,10914.86,12669.48,0.00,0.00,0.00,0.00,0.00
2024-01-08,2924.68,4511.00,0.00,0.00,0.00,0.00,0.00
2024-01-09,11885.66,13658.00,0.00,0.00,0.00,0.00,0.00
2024-01-10,2861.38,4270.00,0.00,0.00,0.00,0.00,0.00
2024-01-11,2605.45,3828.02,0.00,0.00,0.00,0.00,0.00
2024-01-12,10298.43,15370.00,0.00,0.00,0.00,0.00,0.00
2024-01-13,11143.94,12727.00,0.00,0.00,0.00,0.00,0.00
2024-01-14,10920.82,12520.00,0.00,0.00,0.00,0.00,0.00
2024-01-15,2335.40,3485.00,0.00,0.00,0.00,0.00,0.00
2024-01-16,3323.63,4981.00,0.00,0.00,0.00,0.00,0.00
2024-01-17,2805.97,4185.00,0.00,0.00,0.00,0.00,0.00
2024-01-18,13159.52,16402.00,0.00,0.00,0.00,0.00,0.00
2024-01-19,1824.16,2678.00,0.00,0.00,0.00,0.00,0.00
2024-01-20,9667.74,10404.00,0.00,0.00,0.00,0.00,0.00
2024-01-21,11012.33,12406.00,0.00,0.00,0.00,0.00,0.00
2024-01-22,3000.96,4442.00,0.00,0.00,0.00,0.00,0.00
2024-01-23,2135.87,3246.00,0.00,0.00,0.00,0.00,0.00
2024-01-24,9777.52,14960.00,0.00,0.00,0.00,0.00,0.00
2024-01-25,11535.40,17574.00,0.00,0.00,0.00,0.00,0.00
2024-01-26,701.64,1040.00,0.00,0.00,0.00,0.00,0.00
2024-01-27,12088.27,15316.00,0.00,0.00,0.00,0.00,0.00
2024-01-28,5884.65,8043.00,0.00,0.00,0.00,0.00,0.00
2024-01-29,3287.51,4847.00,0.00,0.00,0.00,0.00,0.00
2024-01-30,14704.84,17624.00,0.00,0.00,0.00,0.00,0.00
2024-01-31,1986.34,2987.00,0.00,0.00,0.00,0.00,0.00
2024-02-01,11369.07,12784.00,0.00,0.00,0.00,0.00,0.00
2024-02-02,5008.67,7523.00,0.00,0.00,0.00,0.00,0.00
2024-02-03,2914.53,4227.00,0.00,0.00,0.00,0.00,0.00
2024-02-04,11454.25,12800.00,0.00,0.00,0.00,0.00,0.00
2024-02-05,2125.44,3296.00,0.00,0.00,0.00,0.00,0.00
2024-02-06,11755.01,13285.00,0.00,0.00,0.00,0.00,0.00
2024-02-07,3632.41,5403.00,0.00,0.00,0.00,0.00,0.00
2024-02-08,6042.88,10107.72,0.00,0.00,0.00,0.00,0.00
2024-02-09,2053.95,2980.00,0.00,0.00,0.00,0.00,0.00
2024-02-10,11648.50,17742.00,0.00,0.00,0.00,0.00,0.00
2024-02-11,2739.82,4000.00,0.00,0.00,0.00,0.00,0.00
2024-02-12,3990.16,6044.00,0.00,0.00,0.00,0.00,0.00
2024-02-13,25564.10,27935.00,0.00,0.00,0.00,0.00,0.00
2024-02-14,3631.76,5464.00,0.00,0.00,0.00,0.00,0.00
2024-02-15,3405.63,5046.00,0.00,0.00,0.00,0.00,0.00
2024-02-16,1326.81,1947.00,0.00,0.00,0.00,0.00,0.00
2024-02-17,2241.63,3367.00,0.00,0.00,0.00,0.00,0.00
2024-02-18,10869.69,12349.00,0.00,0.00,0.00,0.00,0.00
2024-02-19,2705.99,3974.00,0.00,0.00,0.00,0.00,0.00
2024-02-20,8939.83,13559.00,0.00,0.00,0.00,0.00,0.00
2024-02-21,14880.90,17904.00,0.00,0.00,0.00,0.00,0.00
2024-02-22,10864.81,12339.00,0.00,0.00,0.00,0.00,0.00
2024-02-23,3434.17,5284.00,0.00,0.00,0.00,0.00,0.00
2024-02-24,6277.17,8870.00,0.00,0.00,0.00,0.00,0.00
