UUID,Start Date,End Date,Type,Name,Duration,Distance,Elevation Ascended,Flights Climbed,Swim Strokes,Total Energy
e2314ed0-816d-4e4a-b39e-7195852a8afc,2020-03-02T11:43:50Z,2020-03-02T12:14:05Z,52,Walking,1815.243,2175.57,2.60,0,0,121.30
1b703366-e329-4a6f-b6aa-74e9f8885526,2020-03-23T00:48:04Z,2020-03-27T00:48:04Z,52,Walking,345600.000,11481.50,35.36,0,0,1112.64
f4e84301-2a89-4d58-946f-8a61b01b567e,2020-04-29T13:48:07Z,2020-04-29T14:27:16Z,37,Running,2349.000,5064.96,0,0,0,442.03
4ee29624-8744-4150-aae3-874f0c3806b8,2020-04-30T01:10:42Z,2020-04-30T01:42:26Z,52,Walking,1904.015,2018.22,29.81,0,0,116.79
7617ddaa-6cea-4dc3-bb75-5425da1971fb,2020-05-18T13:48:43Z,2020-05-18T13:58:27Z,37,Running,584.000,1034.95,0,0,0,92.67
12841111-013a-47c3-9da5-cd4e2f029e93,2020-05-18T23:09:29Z,2020-05-18T23:26:38Z,37,Running,1029.000,2074.65,0,0,0,183.18
d341a1b9-6661-49da-a7ad-2b13b098fcf8,2020-05-19T22:54:52Z,2020-05-19T23:21:21Z,37,Running,1589.000,3685.38,0,0,0,321.11
3b71c4af-1ed1-4059-9880-20092c656344,2020-05-22T14:20:56Z,2020-05-22T14:53:15Z,37,Running,1939.000,3015.59,0,0,0,274.24
84c43829-dd6f-4555-bae3-85afb8c504c0,2020-05-23T14:24:24Z,2020-05-23T14:59:36Z,37,Running,2112.000,3019.72,0,0,0,278.11
9568d8db-492b-4648-b4ec-788e410f9d1a,2020-05-27T14:45:06Z,2020-05-27T15:24:57Z,37,Running,2391.000,5075.29,0,0,0,444.97
5f048ad4-1b8b-4f86-b1d5-1f00c686948c,2020-05-27T15:25:51Z,2020-05-27T15:30:57Z,50,Traditional Strength Training,306.428,0.00,0,0,0,16.00
5b43420b-a329-462e-b9e0-82b8e4089883,2020-05-28T14:32:19Z,2020-05-28T15:10:51Z,37,Running,2312.000,5063.35,0,0,0,441.33
3969b48f-c80a-4180-8c73-94b68b6ca7d1,2020-06-01T14:36:36Z,2020-06-01T15:16:47Z,37,Running,2411.000,5119.64,0,0,0,449.29
f880f270-feb3-461b-ab94-ec37ba393e47,2020-06-02T14:22:37Z,2020-06-02T15:01:46Z,37,Running,2349.000,5059.03,0,0,0,442.69
04336c15-bb89-48dd-aeaa-2255701196fb,2020-06-03T14:36:50Z,2020-06-03T15:15:31Z,37,Running,2321.000,5214.13,0,0,0,452.87
c261a942-3519-49a3-8600-4f8d6b115c3b,2020-06-04T13:12:08Z,2020-06-04T13:47:34Z,13,Cycling,2126.000,7813.52,0,0,0,187.81
f38f02a7-0669-4b71-8a5b-ecdfa1305a02,2020-06-04T14:12:58Z,2020-06-04T14:27:35Z,37,Running,877.000,1475.64,0,0,0,132.78
e44e4906-889a-4b5f-b86a-6c72ba47b53a,2020-06-08T14:10:23Z,2020-06-08T14:49:58Z,37,Running,2375.000,5050.71,0,0,0,442.59
d5676921-0ef9-415e-a914-b851e5652afe,2020-06-10T14:08:25Z,2020-06-10T14:48:06Z,37,Running,2381.000,4015.36,0,0,0,345.01
afe0e496-ba36-4654-b68f-0be3defa5476,2020-06-11T12:48:12Z,2020-06-11T13:20:09Z,13,Cycling,1917.000,7854.11,0,0,0,216.30
176a6637-cbce-4d86-ac75-2f3ba3232c31,2020-06-11T14:32:54Z,2020-06-11T15:09:53Z,37,Running,2219.000,5036.64,0,0,0,439.96
5415321e-1dc4-4279-b3e8-e5763d9a15ca,2020-06-14T14:27:14Z,2020-06-14T15:21:29Z,37,Running,3255.000,1555.75,0,0,0,142.25
151d2a00-1822-4d52-9997-e886a057df4a,2020-06-15T12:45:58Z,2020-06-15T13:23:31Z,13,Cycling,2253.000,8086.11,0,0,0,185.44
623416a5-c08d-48f7-96e6-2791e9c4b9f7,2020-06-16T12:45:10Z,2020-06-16T13:12:14Z,13,Cycling,1624.000,7649.77,0,0,0,243.70
81a81e30-aa64-43e2-84b9-c2398863e128,2020-06-16T13:38:14Z,2020-06-16T14:41:52Z,37,Running,3818.000,5066.15,0,0,0,437.22
f90e3b8e-32f3-4f1f-9bb5-360c9eb2cd7c,2020-06-17T13:10:33Z,2020-06-17T13:56:57Z,13,Cycling,2784.000,8714.56,0,0,0,184.68
5042e564-e43f-4e94-888b-f53089953b93,2020-06-17T14:30:12Z,2020-06-17T15:09:53Z,37,Running,2381.000,5045.54,0,0,0,441.82
9c87b60e-cc52-40f9-8041-ad1abd275fb4,2020-06-18T12:58:59Z,2020-06-18T13:38:16Z,13,Cycling,2357.000,7888.79,0,0,0,165.29
1030dae4-1641-4690-82ff-84d8630c0d33,2020-06-18T13:48:18Z,2020-06-18T15:07:16Z,37,Running,4738.000,5061.18,0,0,0,441.47
73c78623-4c73-47fd-8451-11a8a12d1f0b,2020-06-19T12:58:41Z,2020-06-19T13:17:18Z,37,Running,1117.000,5094.61,0,0,0,415.51
bccedd64-81b1-4510-b09c-0da7017ee8bc,2020-06-19T13:50:05Z,2020-06-19T14:43:29Z,37,Running,3204.000,5048.36,0,0,0,437.34
57da203f-d324-451e-a931-51933ca28e6b,2020-06-20T13:26:05Z,2020-06-20T14:03:26Z,37,Running,2241.000,5042.72,0,0,0,437.49
267c5273-a7e7-436b-916f-8ba60d34bf06,2020-06-21T13:40:47Z,2020-06-21T14:17:18Z,37,Running,2191.000,5045.22,0,0,0,437.55
64f0e624-64a3-425b-9ac2-711c083d4ec9,2020-06-22T12:46:16Z,2020-06-22T13:33:58Z,13,Cycling,2862.000,6276.19,0,0,0,154.20
8ab2e8ce-7367-4e56-86fe-057dca6e05ac,2020-06-23T12:54:41Z,2020-06-23T13:20:32Z,13,Cycling,1551.000,7430.78,0,0,0,230.23
92054051-fb9c-438c-81af-d6e377b13723,2020-06-23T14:03:45Z,2020-06-23T14:53:20Z,37,Running,2975.000,2953.02,0,0,0,252.25
280fc65e-b99e-457d-a25f-13c6190c9a5b,2020-06-30T13:31:36Z,2020-06-30T14:04:20Z,13,Cycling,1964.000,7030.76,0,0,0,161.88
addfcab4-d818-410b-8618-b2cacf0e14d0,2020-07-01T12:49:52Z,2020-07-01T13:20:27Z,13,Cycling,1835.000,7933.36,0,0,0,215.82
9aa37541-f841-4ebb-9b93-6486112e3ede,2020-07-01T13:34:18Z,2020-07-01T14:22:15Z,37,Running,2877.000,4049.25,0,0,0,347.30
5dbdc583-1689-44c8-ac0a-aff3bb3679c6,2020-07-03T14:09:53Z,2020-07-03T14:48:42Z,37,Running,2329.000,2143.35,0,0,0,189.71
89e64515-4936-403f-99e5-1b110c8108ff,2020-07-06T14:32:55Z,2020-07-06T15:08:13Z,37,Running,2118.000,5074.83,0,0,0,437.29
effbb43f-1ee5-4ac1-b6de-f616596005ef,2020-07-07T14:37:03Z,2020-07-07T15:10:13Z,37,Running,1990.000,5038.94,0,0,0,432.25
