Start Date,End Date,Distance Walking/Running,Source,Device
2024-09-10T10:08:10Z,2024-09-10T10:08:12Z,8.12796,马林康的Apple Watch,Apple Watch
2024-09-10T10:08:12Z,2024-09-10T10:08:15Z,8.39712,马林康的Apple Watch,Apple Watch
2024-09-10T10:08:15Z,2024-09-10T10:08:18Z,7.16828,马林康的Apple Watch,Apple Watch
2024-09-10T10:08:18Z,2024-09-10T10:08:20Z,8.19231,马林康的Apple Watch,Apple Watch
2024-09-10T10:08:20Z,2024-09-10T10:08:23Z,6.75013,马林康的Apple Watch,Apple Watch
2024-09-10T10:08:23Z,2024-09-10T10:08:25Z,6.51118,马林康的Apple Watch,Apple Watch
2024-09-10T10:08:25Z,2024-09-10T10:08:28Z,8.60193,马林康的Apple Watch,Apple Watch
2024-09-10T10:08:28Z,2024-09-10T10:08:30Z,7.46695,马林康的Apple Watch,Apple Watch
2024-09-10T10:08:30Z,2024-09-10T10:08:33Z,8.46539,马林康的Apple Watch,Apple Watch
2024-09-10T10:08:33Z,2024-09-10T10:08:36Z,8.39712,马林康的Apple Watch,Apple Watch
2024-09-10T10:08:36Z,2024-09-10T10:08:38Z,7.28775,马林康的Apple Watch,Apple Watch
2024-09-10T10:08:38Z,2024-09-10T10:08:41Z,6.80231,马林康的Apple Watch,Apple Watch
2024-09-10T10:08:41Z,2024-09-10T10:08:43Z,7.41706,马林康的Apple Watch,Apple Watch
2024-09-10T10:08:43Z,2024-09-10T10:08:46Z,5.06332,马林康的Apple Watch,Apple Watch
2024-09-10T10:08:46Z,2024-09-10T10:08:48Z,5.39643,马林康的Apple Watch,Apple Watch
2024-09-10T10:08:48Z,2024-09-10T10:08:51Z,5.92941,马林康的Apple Watch,Apple Watch
2024-09-10T10:08:51Z,2024-09-10T10:08:54Z,3.93815,马林康的Apple Watch,Apple Watch
2024-09-10T10:08:54Z,2024-09-10T10:08:56Z,2.73192,马林康的Apple Watch,Apple Watch
2024-09-10T10:08:56Z,2024-09-10T10:08:59Z,8.32564,马林康的Apple Watch,Apple Watch
2024-09-10T10:08:59Z,2024-09-10T10:09:01Z,6.23750,马林康的Apple Watch,Apple Watch
2024-09-10T10:09:01Z,2024-09-10T10:09:04Z,6.20177,马林康的Apple Watch,Apple Watch
2024-09-10T10:09:04Z,2024-09-10T10:09:06Z,8.66214,马林康的Apple Watch,Apple Watch
2024-09-10T10:09:06Z,2024-09-10T10:09:09Z,9.52235,马林康的Apple Watch,Apple Watch
2024-09-10T10:09:09Z,2024-09-10T10:09:12Z,10.22017,马林康的Apple Watch,Apple Watch
