Start Date,End Date,Heart Rate,Source,Device
2024-09-10T10:08:36Z,2024-09-10T10:08:36Z,139,马林康的Apple Watch,Apple Watch
2024-09-10T10:10:14Z,2024-09-10T10:10:14Z,166,马林康的Apple Watch,Apple Watch
2024-09-10T10:10:45Z,2024-09-10T10:10:45Z,167,马林康的Apple Watch,Apple Watch
2024-09-10T10:10:53Z,2024-09-10T10:10:53Z,167,马林康的Apple Watch,Apple Watch
2024-09-10T10:10:56Z,2024-09-10T10:10:56Z,168,马林康的Apple Watch,Apple Watch
2024-09-10T10:11:03Z,2024-09-10T10:11:03Z,170,马林康的Apple Watch,Apple Watch
2024-09-10T10:11:04Z,2024-09-10T10:11:04Z,170,马林康的Apple Watch,Apple Watch
2024-09-10T10:11:18Z,2024-09-10T10:11:18Z,135,马林康的Apple Watch,Apple Watch
2024-09-10T10:11:20Z,2024-09-10T10:11:20Z,132,马林康的Apple Watch,Apple Watch
2024-09-10T10:11:24Z,2024-09-10T10:11:24Z,128,马林康的Apple Watch,Apple Watch
2024-09-10T10:11:29Z,2024-09-10T10:11:29Z,127,马林康的Apple Watch,Apple Watch
2024-09-10T10:11:38Z,2024-09-10T10:11:38Z,133,马林康的Apple Watch,Apple Watch
2024-09-10T10:11:41Z,2024-09-10T10:11:41Z,136,马林康的Apple Watch,Apple Watch
2024-09-10T10:14:28Z,2024-09-10T10:14:28Z,153,马林康的Apple Watch,Apple Watch
2024-09-10T10:14:29Z,2024-09-10T10:14:29Z,151,马林康的Apple Watch,Apple Watch
2024-09-10T10:14:53Z,2024-09-10T10:14:53Z,153,马林康的Apple Watch,Apple Watch
2024-09-10T10:14:58Z,2024-09-10T10:14:58Z,151,马林康的Apple Watch,Apple Watch
2024-09-10T10:15:00Z,2024-09-10T10:15:00Z,151,马林康的Apple Watch,Apple Watch
2024-09-10T10:15:07Z,2024-09-10T10:15:07Z,150,马林康的Apple Watch,Apple Watch
2024-09-10T10:15:12Z,2024-09-10T10:15:12Z,148,马林康的Apple Watch,Apple Watch
2024-09-10T10:15:15Z,2024-09-10T10:15:15Z,148,马林康的Apple Watch,Apple Watch
2024-09-10T10:15:19Z,2024-09-10T10:15:19Z,149,马林康的Apple Watch,Apple Watch
2024-09-10T10:15:28Z,2024-09-10T10:15:28Z,146,马林康的Apple Watch,Apple Watch
2024-09-10T10:15:33Z,2024-09-10T10:15:33Z,144,马林康的Apple Watch,Apple Watch
2024-09-10T10:15:34Z,2024-09-10T10:15:34Z,144,马林康的Apple Watch,Apple Watch
2024-09-10T10:15:41Z,2024-09-10T10:15:41Z,142,马林康的Apple Watch,Apple Watch
2024-09-10T10:15:44Z,2024-09-10T10:15:44Z,142,马林康的Apple Watch,Apple Watch
2024-09-10T10:15:53Z,2024-09-10T10:15:53Z,143,马林康的Apple Watch,Apple Watch
2024-09-10T10:15:57Z,2024-09-10T10:15:57Z,143,马林康的Apple Watch,Apple Watch
2024-09-10T10:16:01Z,2024-09-10T10:16:01Z,143,马林康的Apple Watch,Apple Watch
2024-09-10T10:16:04Z,2024-09-10T10:16:04Z,143,马林康的Apple Watch,Apple Watch
2024-09-10T10:16:13Z,2024-09-10T10:16:13Z,143,马林康的Apple Watch,Apple Watch
2024-09-10T10:16:15Z,2024-09-10T10:16:15Z,143,马林康的Apple Watch,Apple Watch
2024-09-10T10:16:20Z,2024-09-10T10:16:20Z,147,马林康的Apple Watch,Apple Watch
2024-09-10T10:16:24Z,2024-09-10T10:16:24Z,149,马林康的Apple Watch,Apple Watch
2024-09-10T10:16:29Z,2024-09-10T10:16:29Z,150,马林康的Apple Watch,Apple Watch
2024-09-10T10:16:38Z,2024-09-10T10:16:38Z,151,马林康的Apple Watch,Apple Watch
2024-09-10T10:16:43Z,2024-09-10T10:16:43Z,150,马林康的Apple Watch,Apple Watch
2024-09-10T10:16:44Z,2024-09-10T10:16:44Z,150,马林康的Apple Watch,Apple Watch
2024-09-10T10:16:52Z,2024-09-10T10:16:52Z,150,马林康的Apple Watch,Apple Watch
2024-09-10T10:16:56Z,2024-09-10T10:16:56Z,149,马林康的Apple Watch,Apple Watch
2024-09-10T10:17:02Z,2024-09-10T10:17:02Z,149,马林康的Apple Watch,Apple Watch
2024-09-10T10:17:05Z,2024-09-10T10:17:05Z,150,马林康的Apple Watch,Apple Watch
2024-09-10T10:17:10Z,2024-09-10T10:17:10Z,149,马林康的Apple Watch,Apple Watch
2024-09-10T10:17:15Z,2024-09-10T10:17:15Z,150,马林康的Apple Watch,Apple Watch
2024-09-10T10:17:23Z,2024-09-10T10:17:23Z,149,马林康的Apple Watch,Apple Watch
2024-09-10T10:17:28Z,2024-09-10T10:17:28Z,149,马林康的Apple Watch,Apple Watch
2024-09-10T10:17:29Z,2024-09-10T10:17:29Z,149,马林康的Apple Watch,Apple Watch
2024-09-10T10:17:38Z,2024-09-10T10:17:38Z,149,马林康的Apple Watch,Apple Watch
2024-09-10T10:17:43Z,2024-09-10T10:17:43Z,150,马林康的Apple Watch,Apple Watch
2024-09-10T10:17:45Z,2024-09-10T10:17:45Z,151,马林康的Apple Watch,Apple Watch
2024-09-10T10:17:50Z,2024-09-10T10:17:50Z,153,马林康的Apple Watch,Apple Watch
2024-09-10T10:17:56Z,2024-09-10T10:17:56Z,152,马林康的Apple Watch,Apple Watch
2024-09-10T10:18:00Z,2024-09-10T10:18:00Z,152,马林康的Apple Watch,Apple Watch
2024-09-10T10:18:05Z,2024-09-10T10:18:05Z,150,马林康的Apple Watch,Apple Watch
2024-09-10T10:18:10Z,2024-09-10T10:18:10Z,150,马林康的Apple Watch,Apple Watch
2024-09-10T10:18:18Z,2024-09-10T10:18:18Z,147,马林康的Apple Watch,Apple Watch
2024-09-10T10:18:23Z,2024-09-10T10:18:23Z,147,马林康的Apple Watch,Apple Watch
2024-09-10T10:18:28Z,2024-09-10T10:18:28Z,148,马林康的Apple Watch,Apple Watch
2024-09-10T10:18:31Z,2024-09-10T10:18:31Z,147,马林康的Apple Watch,Apple Watch
2024-09-10T10:18:35Z,2024-09-10T10:18:35Z,146,马林康的Apple Watch,Apple Watch
2024-09-10T10:18:39Z,2024-09-10T10:18:39Z,147,马林康的Apple Watch,Apple Watch
2024-09-10T10:18:47Z,2024-09-10T10:18:47Z,150,马林康的Apple Watch,Apple Watch
2024-09-10T10:18:53Z,2024-09-10T10:18:53Z,151,马林康的Apple Watch,Apple Watch
2024-09-10T10:18:54Z,2024-09-10T10:18:54Z,151,马林康的Apple Watch,Apple Watch
2024-09-10T10:19:01Z,2024-09-10T10:19:01Z,151,马林康的Apple Watch,Apple Watch
2024-09-10T10:19:08Z,2024-09-10T10:19:08Z,151,马林康的Apple Watch,Apple Watch
2024-09-10T10:19:11Z,2024-09-10T10:19:11Z,151,马林康的Apple Watch,Apple Watch
2024-09-10T10:19:14Z,2024-09-10T10:19:14Z,152,马林康的Apple Watch,Apple Watch
2024-09-10T10:19:19Z,2024-09-10T10:19:19Z,153,马林康的Apple Watch,Apple Watch
2024-09-10T10:19:28Z,2024-09-10T10:19:28Z,154,马林康的Apple Watch,Apple Watch
2024-09-10T10:19:29Z,2024-09-10T10:19:29Z,154,马林康的Apple Watch,Apple Watch
2024-09-10T10:19:36Z,2024-09-10T10:19:36Z,154,马林康的Apple Watch,Apple Watch
2024-09-10T10:19:41Z,2024-09-10T10:19:41Z,155,马林康的Apple Watch,Apple Watch
2024-09-10T10:19:47Z,2024-09-10T10:19:47Z,157,马林康的Apple Watch,Apple Watch
2024-09-10T10:19:51Z,2024-09-10T10:19:51Z,158,马林康的Apple Watch,Apple Watch
2024-09-10T10:19:57Z,2024-09-10T10:19:57Z,158,马林康的Apple Watch,Apple Watch
2024-09-10T10:20:01Z,2024-09-10T10:20:01Z,159,马林康的Apple Watch,Apple Watch
2024-09-10T10:20:08Z,2024-09-10T10:20:08Z,158,马林康的Apple Watch,Apple Watch
2024-09-10T10:20:09Z,2024-09-10T10:20:09Z,158,马林康的Apple Watch,Apple Watch
2024-09-10T10:20:18Z,2024-09-10T10:20:18Z,157,马林康的Apple Watch,Apple Watch
2024-09-10T10:20:19Z,2024-09-10T10:20:19Z,157,马林康的Apple Watch,Apple Watch
2024-09-10T10:20:28Z,2024-09-10T10:20:28Z,156,马林康的Apple Watch,Apple Watch
2024-09-10T10:20:31Z,2024-09-10T10:20:31Z,157,马林康的Apple Watch,Apple Watch
2024-09-10T10:20:35Z,2024-09-10T10:20:35Z,158,马林康的Apple Watch,Apple Watch
2024-09-10T10:20:39Z,2024-09-10T10:20:39Z,159,马林康的Apple Watch,Apple Watch
2024-09-10T10:20:44Z,2024-09-10T10:20:44Z,160,马林康的Apple Watch,Apple Watch
2024-09-10T10:20:51Z,2024-09-10T10:20:51Z,163,马林康的Apple Watch,Apple Watch
2024-09-10T10:20:55Z,2024-09-10T10:20:55Z,162,马林康的Apple Watch,Apple Watch
2024-09-10T10:21:00Z,2024-09-10T10:21:00Z,163,马林康的Apple Watch,Apple Watch
2024-09-10T10:21:08Z,2024-09-10T10:21:08Z,163,马林康的Apple Watch,Apple Watch
2024-09-10T10:21:12Z,2024-09-10T10:21:12Z,163,马林康的Apple Watch,Apple Watch
2024-09-10T10:21:17Z,2024-09-10T10:21:17Z,164,马林康的Apple Watch,Apple Watch
2024-09-10T10:21:19Z,2024-09-10T10:21:19Z,164,马林康的Apple Watch,Apple Watch
2024-09-10T10:21:24Z,2024-09-10T10:21:24Z,164,马林康的Apple Watch,Apple Watch
2024-09-10T10:21:29Z,2024-09-10T10:21:29Z,165,马林康的Apple Watch,Apple Watch
2024-09-10T10:21:37Z,2024-09-10T10:21:37Z,168,马林康的Apple Watch,Apple Watch
2024-09-10T10:21:41Z,2024-09-10T10:21:41Z,168,马林康的Apple Watch,Apple Watch
2024-09-10T10:21:45Z,2024-09-10T10:21:45Z,168,马林康的Apple Watch,Apple Watch
2024-09-10T10:21:49Z,2024-09-10T10:21:49Z,168,马林康的Apple Watch,Apple Watch
2024-09-10T10:21:58Z,2024-09-10T10:21:58Z,165,马林康的Apple Watch,Apple Watch
2024-09-10T10:22:02Z,2024-09-10T10:22:02Z,165,马林康的Apple Watch,Apple Watch
2024-09-10T10:22:08Z,2024-09-10T10:22:08Z,165,马林康的Apple Watch,Apple Watch
2024-09-10T10:22:13Z,2024-09-10T10:22:13Z,165,马林康的Apple Watch,Apple Watch
2024-09-10T10:22:16Z,2024-09-10T10:22:16Z,165,马林康的Apple Watch,Apple Watch
2024-09-10T10:22:23Z,2024-09-10T10:22:23Z,165,马林康的Apple Watch,Apple Watch
2024-09-10T10:22:24Z,2024-09-10T10:22:24Z,165,马林康的Apple Watch,Apple Watch
2024-09-10T10:22:32Z,2024-09-10T10:22:32Z,167,马林康的Apple Watch,Apple Watch
2024-09-10T10:22:36Z,2024-09-10T10:22:36Z,167,马林康的Apple Watch,Apple Watch
2024-09-10T10:22:41Z,2024-09-10T10:22:41Z,167,马林康的Apple Watch,Apple Watch
2024-09-10T10:22:44Z,2024-09-10T10:22:44Z,166,马林康的Apple Watch,Apple Watch
2024-09-10T10:22:53Z,2024-09-10T10:22:53Z,166,马林康的Apple Watch,Apple Watch
2024-09-10T10:22:58Z,2024-09-10T10:22:58Z,165,马林康的Apple Watch,Apple Watch
2024-09-10T10:23:00Z,2024-09-10T10:23:00Z,165,马林康的Apple Watch,Apple Watch
2024-09-10T10:23:07Z,2024-09-10T10:23:07Z,166,马林康的Apple Watch,Apple Watch
2024-09-10T10:23:11Z,2024-09-10T10:23:11Z,166,马林康的Apple Watch,Apple Watch
2024-09-10T10:23:16Z,2024-09-10T10:23:16Z,167,马林康的Apple Watch,Apple Watch
2024-09-10T10:23:22Z,2024-09-10T10:23:22Z,167,马林康的Apple Watch,Apple Watch
2024-09-10T10:23:27Z,2024-09-10T10:23:27Z,166,马林康的Apple Watch,Apple Watch
2024-09-10T10:23:31Z,2024-09-10T10:23:31Z,167,马林康的Apple Watch,Apple Watch
2024-09-10T10:23:34Z,2024-09-10T10:23:34Z,167,马林康的Apple Watch,Apple Watch
2024-09-10T10:23:42Z,2024-09-10T10:23:42Z,167,马林康的Apple Watch,Apple Watch
2024-09-10T10:23:46Z,2024-09-10T10:23:46Z,167,马林康的Apple Watch,Apple Watch
2024-09-10T10:23:50Z,2024-09-10T10:23:50Z,167,马林康的Apple Watch,Apple Watch
2024-09-10T10:23:55Z,2024-09-10T10:23:55Z,167,马林康的Apple Watch,Apple Watch
2024-09-10T10:23:59Z,2024-09-10T10:23:59Z,168,马林康的Apple Watch,Apple Watch
2024-09-10T10:24:06Z,2024-09-10T10:24:06Z,167,马林康的Apple Watch,Apple Watch
2024-09-10T10:24:13Z,2024-09-10T10:24:13Z,167,马林康的Apple Watch,Apple Watch
2024-09-10T10:24:14Z,2024-09-10T10:24:14Z,167,马林康的Apple Watch,Apple Watch
2024-09-10T10:24:21Z,2024-09-10T10:24:21Z,167,马林康的Apple Watch,Apple Watch
2024-09-10T10:24:26Z,2024-09-10T10:24:26Z,167,马林康的Apple Watch,Apple Watch
2024-09-10T10:24:29Z,2024-09-10T10:24:29Z,167,马林康的Apple Watch,Apple Watch
2024-09-10T10:24:38Z,2024-09-10T10:24:38Z,167,马林康的Apple Watch,Apple Watch
2024-09-10T10:24:39Z,2024-09-10T10:24:39Z,167,马林康的Apple Watch,Apple Watch
2024-09-10T10:24:47Z,2024-09-10T10:24:47Z,167,马林康的Apple Watch,Apple Watch
2024-09-10T10:24:53Z,2024-09-10T10:24:53Z,166,马林康的Apple Watch,Apple Watch
2024-09-10T10:24:56Z,2024-09-10T10:24:56Z,166,马林康的Apple Watch,Apple Watch
2024-09-10T10:25:03Z,2024-09-10T10:25:03Z,165,马林康的Apple Watch,Apple Watch
2024-09-10T10:25:07Z,2024-09-10T10:25:07Z,166,马林康的Apple Watch,Apple Watch
2024-09-10T10:25:12Z,2024-09-10T10:25:12Z,166,马林康的Apple Watch,Apple Watch
2024-09-10T10:25:17Z,2024-09-10T10:25:17Z,167,马林康的Apple Watch,Apple Watch
2024-09-10T10:25:22Z,2024-09-10T10:25:22Z,168,马林康的Apple Watch,Apple Watch
2024-09-10T10:25:26Z,2024-09-10T10:25:26Z,168,马林康的Apple Watch,Apple Watch
2024-09-10T10:25:32Z,2024-09-10T10:25:32Z,168,马林康的Apple Watch,Apple Watch
2024-09-10T10:25:38Z,2024-09-10T10:25:38Z,168,马林康的Apple Watch,Apple Watch
2024-09-10T10:25:40Z,2024-09-10T10:25:40Z,168,马林康的Apple Watch,Apple Watch
2024-09-10T10:25:46Z,2024-09-10T10:25:46Z,167,马林康的Apple Watch,Apple Watch
2024-09-10T10:25:52Z,2024-09-10T10:25:52Z,166,马林康的Apple Watch,Apple Watch
2024-09-10T10:25:55Z,2024-09-10T10:25:55Z,167,马林康的Apple Watch,Apple Watch
2024-09-10T10:25:59Z,2024-09-10T10:25:59Z,167,马林康的Apple Watch,Apple Watch
