Date,Latitude,Longitude,Altitude,Speed,Course,Horizontal Accuracy,Vertical Accuracy
2024-09-10T10:08:10Z,40.041619452415347,116.298806635943848,53.83,1.49,174.72,4.08,3.61
2024-09-10T10:08:11Z,40.041607780776388,116.298810205155803,54.01,1.52,174.40,3.90,3.36
2024-09-10T10:08:12Z,40.041591958983041,116.298814763018001,54.44,1.90,169.93,3.71,3.12
2024-09-10T10:08:14Z,40.041566963768716,116.298823737631793,54.56,2.10,164.09,3.52,2.90
2024-09-10T10:08:14Z,40.041554022044501,116.298830570571099,54.41,2.03,161.84,3.38,2.76
2024-09-10T10:08:15Z,40.041533285827441,116.298840637884609,54.38,1.90,172.93,3.21,2.63
2024-09-10T10:08:16Z,40.041513902930596,116.298841234828174,54.45,1.78,203.54,3.03,2.53
2024-09-10T10:08:17Z,40.041504380735581,116.298832022866151,54.11,1.80,221.84,2.91,2.18
2024-09-10T10:08:18Z,40.041490648732633,116.298815054310168,53.98,1.84,218.92,2.81,2.00
2024-09-10T10:08:19Z,40.041479249513770,116.298802071833535,53.83,1.86,206.78,2.67,1.87
2024-09-10T10:08:20Z,40.041464007404670,116.298794392378554,53.70,1.83,185.00,2.59,1.75
2024-09-10T10:08:21Z,40.041447675037979,116.298795426385269,53.55,1.89,161.00,2.54,1.64
2024-09-10T10:08:22Z,40.041432489623929,116.298805007693431,53.42,1.93,146.62,2.50,1.54
2024-09-10T10:08:23Z,40.041418231885778,116.298816717430327,53.27,1.85,145.96,2.47,1.45
2024-09-10T10:08:24Z,40.041404039917460,116.298825160479879,53.12,1.64,166.35,2.46,1.37
2024-09-10T10:08:25Z,40.041392740660662,116.298820678582743,52.97,1.51,233.93,2.45,1.29
2024-09-10T10:08:26Z,40.041384186098121,116.298803920733704,52.83,1.94,239.40,2.43,1.23
2024-09-10T10:08:27Z,40.041380395366680,116.298795776508570,52.77,2.09,240.10,2.42,1.20
2024-09-10T10:08:28Z,40.041368942541702,116.298770881268595,52.64,2.81,238.74,2.35,1.14
2024-09-10T10:08:29Z,40.041355203738860,116.298742024268094,52.51,3.07,238.13,2.31,1.10
2024-09-10T10:08:30Z,40.041340053274034,116.298711517662611,52.37,3.12,236.47,2.31,1.06
2024-09-10T10:08:31Z,40.041323833900805,116.298681341532784,52.24,3.10,233.89,2.35,1.03
2024-09-10T10:08:32Z,40.041306785850523,116.298652897159570,52.12,3.07,230.66,2.38,1.01
2024-09-10T10:08:33Z,40.041288764338525,116.298625137569275,52.01,3.15,229.48,2.42,0.99
2024-09-10T10:08:34Z,40.041270214648890,116.298597757064982,51.91,3.09,228.22,2.43,0.98
2024-09-10T10:08:35Z,40.041252022489438,116.298570304963349,51.82,3.07,230.38,2.37,0.97
2024-09-10T10:08:36Z,40.041235335688910,116.298541922891857,51.74,3.06,235.05,2.31,0.96
2024-09-10T10:08:37Z,40.041220236866984,116.298511689476811,51.67,3.08,239.17,2.26,0.95
2024-09-10T10:08:38Z,40.041206748190831,116.298480612993330,51.63,3.07,242.17,2.22,0.95
2024-09-10T10:08:39Z,40.041194145614746,116.298448753197093,51.59,3.02,243.81,2.18,0.95
2024-09-10T10:08:40Z,40.041181983749446,116.298417370306026,51.54,2.98,242.90,2.13,0.95
