Start Date,End Date,Distance Walking/Running,Source,Device
2024-09-05T10:13:05Z,2024-09-05T10:13:08Z,7.26444,马林康的Apple Watch,Apple Watch
2024-09-05T10:13:08Z,2024-09-05T10:13:10Z,8.03222,马林康的Apple Watch,Apple Watch
2024-09-05T10:13:10Z,2024-09-05T10:13:13Z,3.84737,马林康的Apple Watch,Apple Watch
2024-09-05T10:13:13Z,2024-09-05T10:13:15Z,2.93615,马林康的Apple Watch,Apple Watch
2024-09-05T10:13:15Z,2024-09-05T10:13:18Z,7.96473,马林康的Apple Watch,Apple Watch
2024-09-05T10:13:18Z,2024-09-05T10:13:20Z,6.61477,马林康的Apple Watch,Apple Watch
2024-09-05T10:13:20Z,2024-09-05T10:13:23Z,4.04986,马林康的Apple Watch,Apple Watch
2024-09-05T10:13:23Z,2024-09-05T10:13:26Z,7.35725,马林康的Apple Watch,Apple Watch
2024-09-05T10:13:26Z,2024-09-05T10:13:28Z,8.50471,马林康的Apple Watch,Apple Watch
2024-09-05T10:13:28Z,2024-09-05T10:13:31Z,7.55974,马林康的Apple Watch,Apple Watch
2024-09-05T10:13:31Z,2024-09-05T10:13:33Z,8.43721,马林康的Apple Watch,Apple Watch
2024-09-05T10:13:33Z,2024-09-05T10:13:36Z,8.36971,马林康的Apple Watch,Apple Watch
2024-09-05T10:13:36Z,2024-09-05T10:13:38Z,8.30221,马林康的Apple Watch,Apple Watch
2024-09-05T10:13:38Z,2024-09-05T10:13:41Z,7.91307,马林康的Apple Watch,Apple Watch
2024-09-05T10:13:41Z,2024-09-05T10:13:44Z,5.67373,马林康的Apple Watch,Apple Watch
2024-09-05T10:13:44Z,2024-09-05T10:13:46Z,6.43777,马林康的Apple Watch,Apple Watch
2024-09-05T10:13:46Z,2024-09-05T10:13:49Z,7.35454,马林康的Apple Watch,Apple Watch
2024-09-05T10:13:49Z,2024-09-05T10:13:51Z,8.36629,马林康的Apple Watch,Apple Watch
2024-09-05T10:13:51Z,2024-09-05T10:13:54Z,8.73000,马林康的Apple Watch,Apple Watch
2024-09-05T10:13:54Z,2024-09-05T10:13:57Z,11.07943,马林康的Apple Watch,Apple Watch
2024-09-05T10:13:57Z,2024-09-05T10:13:59Z,12.61642,马林康的Apple Watch,Apple Watch
2024-09-05T10:13:59Z,2024-09-05T10:14:02Z,7.68813,马林康的Apple Watch,Apple Watch
2024-09-05T10:14:02Z,2024-09-05T10:14:04Z,8.80667,马林康的Apple Watch,Apple Watch
2024-09-05T10:14:04Z,2024-09-05T10:14:07Z,7.54840,马林康的Apple Watch,Apple Watch
2024-09-05T10:14:07Z,2024-09-05T10:14:09Z,6.91969,马林康的Apple Watch,Apple Watch
2024-09-05T10:14:09Z,2024-09-05T10:14:12Z,9.19497,马林康的Apple Watch,Apple Watch
2024-09-05T10:14:12Z,2024-09-05T10:14:15Z,9.46191,马林康的Apple Watch,Apple Watch
2024-09-05T10:14:15Z,2024-09-05T10:14:17Z,8.91872,马林康的Apple Watch,Apple Watch
2024-09-05T10:14:17Z,2024-09-05T10:14:20Z,7.17052,马林康的Apple Watch,Apple Watch
2024-09-05T10:14:20Z,2024-09-05T10:14:22Z,8.28222,马林康的Apple Watch,Apple Watch
2024-09-05T10:14:22Z,2024-09-05T10:14:25Z,10.32504,马林康的Apple Watch,Apple Watch
2024-09-05T10:14:25Z,2024-09-05T10:14:27Z,13.59835,马林康的Apple Watch,Apple Watch
2024-09-05T10:14:27Z,2024-09-05T10:14:30Z,7.17663,马林康的Apple Watch,Apple Watch
2024-09-05T10:14:30Z,2024-09-05T10:14:33Z,7.72754,马林康的Apple Watch,Apple Watch
2024-09-05T10:14:33Z,2024-09-05T10:14:35Z,5.62661,马林康的Apple Watch,Apple Watch
2024-09-05T10:14:35Z,2024-09-05T10:14:38Z,7.36974,马林康的Apple Watch,Apple Watch
2024-09-05T10:14:38Z,2024-09-05T10:14:40Z,6.02164,马林康的Apple Watch,Apple Watch
2024-09-05T10:14:40Z,2024-09-05T10:14:43Z,6.79685,马林康的Apple Watch,Apple Watch
2024-09-05T10:14:43Z,2024-09-05T10:14:46Z,7.38699,马林康的Apple Watch,Apple Watch
2024-09-05T10:14:46Z,2024-09-05T10:14:48Z,7.90153,马林康的Apple Watch,Apple Watch
2024-09-05T10:14:48Z,2024-09-05T10:14:51Z,8.12388,马林康的Apple Watch,Apple Watch
2024-09-05T10:14:51Z,2024-09-05T10:14:53Z,7.44393,马林康的Apple Watch,Apple Watch
