Start Date,End Date,Heart Rate,Source,Device
2024-09-05T10:16:10Z,2024-09-05T10:16:10Z,147,马林康的Apple Watch,Apple Watch
2024-09-05T10:16:15Z,2024-09-05T10:16:15Z,140,马林康的Apple Watch,Apple Watch
2024-09-05T10:16:20Z,2024-09-05T10:16:20Z,131,马林康的Apple Watch,Apple Watch
2024-09-05T10:16:22Z,2024-09-05T10:16:22Z,128,马林康的Apple Watch,Apple Watch
2024-09-05T10:16:31Z,2024-09-05T10:16:31Z,120,马林康的Apple Watch,Apple Watch
2024-09-05T10:16:42Z,2024-09-05T10:16:42Z,122,马林康的Apple Watch,Apple Watch
2024-09-05T10:16:47Z,2024-09-05T10:16:47Z,127,马林康的Apple Watch,Apple Watch
2024-09-05T10:16:52Z,2024-09-05T10:16:52Z,133,马林康的Apple Watch,Apple Watch
2024-09-05T10:16:57Z,2024-09-05T10:16:57Z,137,马林康的Apple Watch,Apple Watch
2024-09-05T10:17:11Z,2024-09-05T10:17:11Z,147,马林康的Apple Watch,Apple Watch
2024-09-05T10:17:28Z,2024-09-05T10:17:28Z,152,马林康的Apple Watch,Apple Watch
2024-09-05T10:17:37Z,2024-09-05T10:17:37Z,153,马林康的Apple Watch,Apple Watch
2024-09-05T10:17:42Z,2024-09-05T10:17:42Z,153,马林康的Apple Watch,Apple Watch
2024-09-05T10:17:49Z,2024-09-05T10:17:49Z,154,马林康的Apple Watch,Apple Watch
2024-09-05T10:18:02Z,2024-09-05T10:18:02Z,155,马林康的Apple Watch,Apple Watch
2024-09-05T10:18:17Z,2024-09-05T10:18:17Z,157,马林康的Apple Watch,Apple Watch
2024-09-05T10:18:19Z,2024-09-05T10:18:19Z,156,马林康的Apple Watch,Apple Watch
2024-09-05T10:19:12Z,2024-09-05T10:19:12Z,153,马林康的Apple Watch,Apple Watch
2024-09-05T10:19:53Z,2024-09-05T10:19:53Z,152,马林康的Apple Watch,Apple Watch
2024-09-05T10:20:01Z,2024-09-05T10:20:01Z,152,马林康的Apple Watch,Apple Watch
2024-09-05T10:20:07Z,2024-09-05T10:20:07Z,153,马林康的Apple Watch,Apple Watch
2024-09-05T10:20:36Z,2024-09-05T10:20:36Z,149,马林康的Apple Watch,Apple Watch
2024-09-05T10:22:42Z,2024-09-05T10:22:42Z,151,马林康的Apple Watch,Apple Watch
2024-09-05T10:23:43Z,2024-09-05T10:23:43Z,151,马林康的Apple Watch,Apple Watch
2024-09-05T10:23:53Z,2024-09-05T10:23:53Z,152,马林康的Apple Watch,Apple Watch
2024-09-05T10:23:55Z,2024-09-05T10:23:55Z,152,马林康的Apple Watch,Apple Watch
2024-09-05T10:23:59Z,2024-09-05T10:23:59Z,153,马林康的Apple Watch,Apple Watch
2024-09-05T10:24:06Z,2024-09-05T10:24:06Z,153,马林康的Apple Watch,Apple Watch
2024-09-05T10:24:13Z,2024-09-05T10:24:13Z,154,马林康的Apple Watch,Apple Watch
2024-09-05T10:24:18Z,2024-09-05T10:24:18Z,153,马林康的Apple Watch,Apple Watch
2024-09-05T10:24:22Z,2024-09-05T10:24:22Z,149,马林康的Apple Watch,Apple Watch
2024-09-05T10:24:27Z,2024-09-05T10:24:27Z,149,马林康的Apple Watch,Apple Watch
